#scheme	genus	species	description	n_loci	source	database_url	pubmed_id	citation
borrelia	Borrelia		Borrelia spp. MLST	8	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_borrelia_seqdef&page=schemeInfo&scheme_id=1	18574151	Margos G, Gatewood AG, Aanensen DM, et al. MLST of housekeeping genes captures geographic population structure and suggests a European origin of Borrelia burgdorferi. Proc Natl Acad Sci U S A 2008;105:8730-5.
bpseudomallei	Burkholderia	pseudomallei	Burkholderia pseudomallei MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_bpseudomallei_seqdef&page=schemeInfo&scheme_id=1	12734250	Godoy D, Randle G, Simpson AJ, et al. Multilocus sequence typing and evolutionary relationships among the causative agents of melioidosis and glanders, Burkholderia pseudomallei and Burkholderia mallei. J Clin Microbiol 2003;41:2068-79.
brachyspira	Brachyspira		Brachyspira spp. MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_brachyspira_seqdef&page=schemeInfo&scheme_id=1		
brachyspira_2	Brachyspira	hyodysenteriae	Brachyspira hyodysenteriae MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_brachyspira_seqdef&page=schemeInfo&scheme_id=2		
brachyspira_3	Brachyspira	intermedia	Brachyspira intermedia MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_brachyspira_seqdef&page=schemeInfo&scheme_id=3		
brachyspira_4	Brachyspira	pilosicoli	Brachyspira pilosicoli MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_brachyspira_seqdef&page=schemeInfo&scheme_id=4		
brachyspira_5	Brachyspira	hampsonii	Brachyspira hampsonii MLST	6	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_brachyspira_seqdef&page=schemeInfo&scheme_id=5		
brucella	Brucella		Brucella spp. MLST (9 locus)	9	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_brucella_seqdef&page=schemeInfo&scheme_id=1	17448232	Whatmore AM, Perrett LL, MacMillan AP. Characterisation of the genetic diversity of Brucella by multilocus sequencing. BMC Microbiol 2007;7:34.
bsubtilis	Bacillus	subtilis	Bacillus subtilis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_bsubtilis_seqdef&page=schemeInfo&scheme_id=1		
bwashoensis	Bartonella	washoensis	Bartonella washoensis MLST	6	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_bwashoensis_seqdef&page=schemeInfo&scheme_id=1	20884133	Inoue K, Kabeya H, Hagiya K, et al. Multi-locus sequence analysis reveals host specific association between Bartonella washoensis and squirrels. Vet Microbiol 2011;148:60-5.
campylobacter	Campylobacter		Campylobacter jejuni/coli MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_campylobacter_seqdef&page=schemeInfo&scheme_id=1	11136741	Dingle KE, Colles FM, Wareing DR, et al. Multilocus sequence typing system for Campylobacter jejuni. J Clin Microbiol 2001;39:14-23.
campylobacter_nonjejuni	Campylobacter	helveticus	Campylobacter helveticus MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_campylobacter_nonjejuni_seqdef&page=schemeInfo&scheme_id=1		
campylobacter_nonjejuni_2	Campylobacter	insulaenigrae	Campylobacter insulaenigrae MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_campylobacter_nonjejuni_seqdef&page=schemeInfo&scheme_id=2		
campylobacter_nonjejuni_3	Campylobacter	lari	Campylobacter lari MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_campylobacter_nonjejuni_seqdef&page=schemeInfo&scheme_id=3		
campylobacter_nonjejuni_4	Campylobacter	upsaliensis	Campylobacter upsaliensis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_campylobacter_nonjejuni_seqdef&page=schemeInfo&scheme_id=4		
campylobacter_nonjejuni_5	Campylobacter		Campylobacter concisus/curvus MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_campylobacter_nonjejuni_seqdef&page=schemeInfo&scheme_id=5		
campylobacter_nonjejuni_6	Campylobacter	hyointestinalis	Campylobacter hyointestinalis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_campylobacter_nonjejuni_seqdef&page=schemeInfo&scheme_id=6		
campylobacter_nonjejuni_7	Campylobacter	lanienae	Campylobacter lanienae MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_campylobacter_nonjejuni_seqdef&page=schemeInfo&scheme_id=7		
campylobacter_nonjejuni_8	Campylobacter	sputorum	Campylobacter sputorum MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_campylobacter_nonjejuni_seqdef&page=schemeInfo&scheme_id=8		
campylobacter_nonjejuni_9	Campylobacter	fetus	Campylobacter fetus MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_campylobacter_nonjejuni_seqdef&page=schemeInfo&scheme_id=9		
cbotulinum	Clostridium	botulinum	Clostridium botulinum MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_cbotulinum_seqdef&page=schemeInfo&scheme_id=1		
cdifficile	Clostridioides	difficile	Clostridioides difficile MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_cdifficile_seqdef&page=schemeInfo&scheme_id=1	20042623	Griffiths D, Fawley W, Kachrimanidou M, et al. Multilocus sequence typing of Clostridium difficile. J Clin Microbiol 2010;48:770-8.
cdiphtheriae	Corynebacterium	diphtheriae	Corynebacterium diphtheriae MLST (Pasteur)	7	pasteur	https://bigsdb.pasteur.fr/cgi-bin/bigsdb/bigsdb.pl?db=pubmlst_diphtheria_seqdef&page=schemeInfo&scheme_id=3	20844217	Bolt F, Cassiday P, Tondella ML, et al. Multilocus sequence typing identifies evidence for recombination and two distinct lineages of Corynebacterium diphtheriae. J Clin Microbiol 2010;48:4177-85.
cfreundii	Citrobacter	freundii	Citrobacter freundii MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_cfreundii_seqdef&page=schemeInfo&scheme_id=1		
chlamydiales			Chlamydiales spp. MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_chlamydiales_seqdef&page=schemeInfo&scheme_id=1		
cmaltaromaticum	Carnobacterium	maltaromaticum	Carnobacterium maltaromaticum MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_cmaltaromaticum_seqdef&page=schemeInfo&scheme_id=1		
